LatD," ""LatM"""," ""LatS"""," ""NS"""," ""LonD"""," ""LonM"""," ""LonS"""," ""EW"""," ""City"""," ""State"""
50,25,11," ""N""",104,39,0," ""W"""," ""Regina""", SA
49,52,48," ""N""",97,9,0," ""W"""," ""Winnipeg""", MB
49,16,12," ""N""",123,7,12," ""W"""," ""Vancouver""", BC
48,9,0," ""N""",103,37,12," ""W"""," ""Williston""", ND
47,14,24," ""N""",122,25,48," ""W"""," ""Tacoma""", WA
47,35,59," ""N""",122,19,48," ""W"""," ""Seattle""", WA
47,40,11," ""N""",117,24,36," ""W"""," ""Spokane""", WA
47,25,11," ""N""",120,19,11," ""W"""," ""Wenatchee""", WA
46,35,59," ""N""",120,30,36," ""W"""," ""Yakima""", WA
46,4,11," ""N""",118,19,48," ""W"""," ""Walla Walla""", WA
46,29,24," ""N""",84,20,59," ""W"""," ""Sault Sainte Marie""", MI
46,55,11," ""N""",98,0,36," ""W"""," ""Valley City""", ND
45,38,23," ""N""",89,25,11," ""W"""," ""Rhinelander""", WI
45,34,11," ""N""",94,10,11," ""W"""," ""Saint Cloud""", MN
44,45,35," ""N""",85,37,47," ""W"""," ""Traverse City""", MI
44,47,59," ""N""",106,57,35," ""W"""," ""Sheridan""", WY
44,1,12," ""N""",92,27,35," ""W"""," ""Rochester""", MN
44,25,11," ""N""",72,1,11," ""W"""," ""Saint Johnsbury""", VT
44,31,12," ""N""",89,34,11," ""W"""," ""Stevens Point""", WI
44,54,0," ""N""",97,6,36," ""W"""," ""Watertown""", SD
44,56,23," ""N""",123,1,47," ""W"""," ""Salem""", OR
44,57,35," ""N""",89,38,23," ""W"""," ""Wausau""", WI
44,57,0," ""N""",93,5,59," ""W"""," ""Saint Paul""", MN
43,32,24," ""N""",96,43,48," ""W"""," ""Sioux Falls""", SD
43,58,47," ""N""",75,55,11," ""W"""," ""Watertown""", NY
43,36,36," ""N""",72,58,12," ""W"""," ""Rutland""", VT
43,2,59," ""N""",76,9,0," ""W"""," ""Syracuse""", NY
